Gmt time,Open,High,Low,Close,Volume
21.04.2022 00:00:00.000,1.30676,1.30899,1.30221,1.30241,103950.9609
22.04.2022 00:00:00.000,1.30242,1.30327,1.28225,1.28343,104156.7422
23.04.2022 00:00:00.000,1.28343,1.28343,1.28343,1.28343,0
24.04.2022 00:00:00.000,1.28304,1.28401,1.28256,1.28278,5230.2998
25.04.2022 00:00:00.000,1.28277,1.28295,1.26971,1.27371,175514.4063
26.04.2022 00:00:00.000,1.27370,1.27722,1.25597,1.25811,122481.0313
27.04.2022 00:00:00.000,1.25810,1.26015,1.25024,1.25393,132346.75
28.04.2022 00:00:00.000,1.25392,1.25695,1.24108,1.24644,143059.6406
29.04.2022 00:00:00.000,1.24644,1.26143,1.24644,1.25671,126490.0625
30.04.2022 00:00:00.000,1.25671,1.25671,1.25671,1.25671,0
01.05.2022 00:00:00.000,1.25794,1.25879,1.25691,1.25699,5720.3101
02.05.2022 00:00:00.000,1.25700,1.25970,1.24725,1.24991,112703.6094
03.05.2022 00:00:00.000,1.24991,1.25669,1.24702,1.24981,124007.8047
04.05.2022 00:00:00.000,1.24979,1.26378,1.24512,1.26161,151030.5625
05.05.2022 00:00:00.000,1.26161,1.26327,1.23247,1.23620,175435.3906
06.05.2022 00:00:00.000,1.23620,1.23800,1.22757,1.23386,208332.8438
07.05.2022 00:00:00.000,1.23386,1.23386,1.23386,1.23386,0
08.05.2022 00:00:00.000,1.23476,1.23490,1.23241,1.23252,6666.3599
09.05.2022 00:00:00.000,1.23250,1.24056,1.22608,1.23355,159978.3594
10.05.2022 00:00:00.000,1.23355,1.23755,1.22914,1.23068,163878.0156
11.05.2022 00:00:00.000,1.23065,1.24001,1.22316,1.22332,183333.9844
12.05.2022 00:00:00.000,1.22331,1.22481,1.21650,1.22042,199730.3594
13.05.2022 00:00:00.000,1.22043,1.22613,1.21550,1.22585,121915.1094
14.05.2022 00:00:00.000,1.22585,1.22585,1.22585,1.22585,0
15.05.2022 00:00:00.000,1.22369,1.22656,1.22369,1.22566,6673.3999
16.05.2022 00:00:00.000,1.22567,1.23290,1.22167,1.23254,126956.3672
17.05.2022 00:00:00.000,1.23248,1.24988,1.23203,1.24867,152132.875
18.05.2022 00:00:00.000,1.24865,1.25008,1.23292,1.23437,120411.1172
19.05.2022 00:00:00.000,1.23437,1.25244,1.23377,1.24624,153064.4375
20.05.2022 00:00:00.000,1.24628,1.25000,1.24373,1.24792,123606.4922
21.05.2022 00:00:00.000,1.24792,1.24792,1.24792,1.24792,0
22.05.2022 00:00:00.000,1.24707,1.25094,1.24707,1.25032,5619.7598
23.05.2022 00:00:00.000,1.25032,1.26007,1.24995,1.25669,115619.7109
24.05.2022 00:00:00.000,1.25666,1.25981,1.24713,1.25409,131744.7188
25.05.2022 00:00:00.000,1.25409,1.25942,1.24807,1.25856,131072.875
26.05.2022 00:00:00.000,1.25852,1.26206,1.25515,1.26166,129252.9063
27.05.2022 00:00:00.000,1.26165,1.26663,1.25858,1.26275,97387.9219
28.05.2022 00:00:00.000,1.26275,1.26275,1.26275,1.26275,0
29.05.2022 00:00:00.000,1.26093,1.26350,1.26093,1.26239,4477.8799
30.05.2022 00:00:00.000,1.26239,1.26596,1.26159,1.26452,108114.6484
31.05.2022 00:00:00.000,1.26452,1.26485,1.25601,1.26092,122065.6484
01.06.2022 00:00:00.000,1.26092,1.26162,1.24584,1.24833,115661.0781
02.06.2022 00:00:00.000,1.24833,1.25861,1.24691,1.25780,92186.8516
03.06.2022 00:00:00.000,1.25779,1.25895,1.24845,1.24859,95447.7891
04.06.2022 00:00:00.000,1.24859,1.24859,1.24859,1.24859,0
05.06.2022 00:00:00.000,1.24913,1.25021,1.24862,1.24897,4184.8999
06.06.2022 00:00:00.000,1.24900,1.25773,1.24763,1.25229,102126.2109
07.06.2022 00:00:00.000,1.25229,1.25992,1.24299,1.25869,143318.625
08.06.2022 00:00:00.000,1.25870,1.25889,1.25129,1.25399,110872.7031
09.06.2022 00:00:00.000,1.25398,1.25584,1.24860,1.24922,128129.7734
10.06.2022 00:00:00.000,1.24921,1.25174,1.23008,1.23077,138700.1563
11.06.2022 00:00:00.000,1.23077,1.23077,1.23077,1.23077,0
12.06.2022 00:00:00.000,1.23130,1.23200,1.22712,1.22763,14320.6602
13.06.2022 00:00:00.000,1.22763,1.23002,1.21067,1.21417,185833.1094
14.06.2022 00:00:00.000,1.21419,1.22077,1.19332,1.20106,207813.9688
15.06.2022 00:00:00.000,1.20106,1.22045,1.19890,1.21744,248461.7969
16.06.2022 00:00:00.000,1.21741,1.24060,1.20403,1.23497,227027.4844
17.06.2022 00:00:00.000,1.23497,1.23525,1.21723,1.22186,175075.375
18.06.2022 00:00:00.000,1.22186,1.22186,1.22186,1.22186,0
19.06.2022 00:00:00.000,1.22189,1.22311,1.22069,1.22275,7624.77
20.06.2022 00:00:00.000,1.22275,1.22800,1.21989,1.22477,128033.3828
21.06.2022 00:00:00.000,1.22475,1.23242,1.22446,1.22635,126777.6484
22.06.2022 00:00:00.000,1.22634,1.23143,1.21606,1.22517,166084.9063
23.06.2022 00:00:00.000,1.22513,1.22942,1.21695,1.22593,166399.8281
24.06.2022 00:00:00.000,1.22594,1.23202,1.22403,1.22622,124849.2188
25.06.2022 00:00:00.000,1.22622,1.22622,1.22622,1.22622,0
26.06.2022 00:00:00.000,1.22500,1.22964,1.22499,1.22821,8504.7803
27.06.2022 00:00:00.000,1.22820,1.23321,1.22378,1.22659,144268.9844
28.06.2022 00:00:00.000,1.22658,1.22912,1.21746,1.21872,154092.1563
29.06.2022 00:00:00.000,1.21871,1.22127,1.21056,1.21285,174238.0625
30.06.2022 00:00:00.000,1.21284,1.21880,1.20916,1.21597,164568.25
01.07.2022 00:00:00.000,1.21597,1.21610,1.19757,1.20913,152115.125
02.07.2022 00:00:00.000,1.20913,1.20913,1.20913,1.20913,0
03.07.2022 00:00:00.000,1.20989,1.21227,1.20958,1.20997,7371.1001
04.07.2022 00:00:00.000,1.20996,1.21648,1.20842,1.21130,112939.0625
05.07.2022 00:00:00.000,1.21128,1.21251,1.18985,1.19506,167610.9219
06.07.2022 00:00:00.000,1.19505,1.19891,1.18756,1.19214,198218.7344
07.07.2022 00:00:00.000,1.19217,1.20333,1.19083,1.20286,161143.6875
08.07.2022 00:00:00.000,1.20288,1.20554,1.19191,1.20290,163711.8125
09.07.2022 00:00:00.000,1.20290,1.20290,1.20290,1.20290,0
10.07.2022 00:00:00.000,1.20003,1.20369,1.20003,1.20168,6098.335
11.07.2022 00:00:00.000,1.20175,1.20193,1.18660,1.18986,174630.6406
12.07.2022 00:00:00.000,1.18987,1.19156,1.18072,1.18774,187343.3438
13.07.2022 00:00:00.000,1.18774,1.19668,1.18271,1.18635,227844.875
14.07.2022 00:00:00.000,1.18634,1.18838,1.17599,1.18403,259267.625
15.07.2022 00:00:00.000,1.18401,1.18743,1.18042,1.18613,183102.0156
16.07.2022 00:00:00.000,1.18613,1.18613,1.18613,1.18613,0
17.07.2022 00:00:00.000,1.18634,1.18905,1.18624,1.18895,7993.4199
18.07.2022 00:00:00.000,1.18896,1.20334,1.18739,1.19484,159279.0625
19.07.2022 00:00:00.000,1.19482,1.20452,1.19246,1.20018,176549.625
20.07.2022 00:00:00.000,1.20017,1.20370,1.19532,1.19674,185002.7344
21.07.2022 00:00:00.000,1.19673,1.20036,1.18896,1.19949,209052.4375
22.07.2022 00:00:00.000,1.19948,1.20639,1.19161,1.19972,206153.4375
23.07.2022 00:00:00.000,1.19972,1.19972,1.19972,1.19972,0
24.07.2022 00:00:00.000,1.19863,1.20100,1.19846,1.19849,6121.8389
25.07.2022 00:00:00.000,1.19849,1.20864,1.19600,1.20531,157327.7656
26.07.2022 00:00:00.000,1.20535,1.20898,1.19635,1.20350,153083.8125
27.07.2022 00:00:00.000,1.20352,1.21858,1.20203,1.21616,184455.2031
28.07.2022 00:00:00.000,1.21616,1.21913,1.21029,1.21723,195109.1094
29.07.2022 00:00:00.000,1.21724,1.22454,1.20627,1.21745,186121.0313
30.07.2022 00:00:00.000,1.21745,1.21745,1.21745,1.21745,0
31.07.2022 00:00:00.000,1.21616,1.21786,1.21561,1.21673,4056.5959
01.08.2022 00:00:00.000,1.21675,1.22931,1.21622,1.22566,148501.9531
02.08.2022 00:00:00.000,1.22566,1.22790,1.21401,1.21428,201221.0313
03.08.2022 00:00:00.000,1.21426,1.22075,1.20997,1.21375,156977.2031
04.08.2022 00:00:00.000,1.21375,1.22147,1.20655,1.21578,145834.5625
05.08.2022 00:00:00.000,1.21579,1.21687,1.20030,1.20670,140747.9844
06.08.2022 00:00:00.000,1.20670,1.20670,1.20670,1.20670,0
07.08.2022 00:00:00.000,1.20640,1.20713,1.20564,1.20605,5883.7798
08.08.2022 00:00:00.000,1.20604,1.21373,1.20470,1.20848,128465.5313
09.08.2022 00:00:00.000,1.20847,1.21299,1.20627,1.20710,105138.2188
10.08.2022 00:00:00.000,1.20708,1.22766,1.20645,1.22106,130134.375
11.08.2022 00:00:00.000,1.22106,1.22491,1.21818,1.21941,136605.7656
12.08.2022 00:00:00.000,1.21942,1.22162,1.20993,1.21314,119786.2813
13.08.2022 00:00:00.000,1.21314,1.21314,1.21314,1.21314,0
14.08.2022 00:00:00.000,1.21294,1.21386,1.21262,1.21266,6309.6499
15.08.2022 00:00:00.000,1.21268,1.21480,1.20497,1.20558,110753.5234
16.08.2022 00:00:00.000,1.20557,1.21175,1.20073,1.20940,103627.3516
17.08.2022 00:00:00.000,1.20939,1.21430,1.20277,1.20447,119413.6094
18.08.2022 00:00:00.000,1.20451,1.20793,1.19223,1.19298,114785.6563
19.08.2022 00:00:00.000,1.19298,1.19327,1.17916,1.18224,124883.0391
20.08.2022 00:00:00.000,1.18224,1.18224,1.18224,1.18224,0
21.08.2022 00:00:00.000,1.18169,1.18311,1.18105,1.18184,6478.8701
22.08.2022 00:00:00.000,1.18183,1.18363,1.17416,1.17648,109572.6719
23.08.2022 00:00:00.000,1.17650,1.18774,1.17170,1.18294,131608.0625
24.08.2022 00:00:00.000,1.18294,1.18351,1.17552,1.17899,126866.4531
25.08.2022 00:00:00.000,1.17898,1.18641,1.17832,1.18222,122790.5703
26.08.2022 00:00:00.000,1.18224,1.19007,1.17317,1.17373,153807.9063
27.08.2022 00:00:00.000,1.17373,1.17373,1.17373,1.17373,0
28.08.2022 00:00:00.000,1.17293,1.17349,1.16830,1.16880,12025.1367
29.08.2022 00:00:00.000,1.16882,1.17438,1.16477,1.17211,136720.7813
30.08.2022 00:00:00.000,1.17209,1.17600,1.16212,1.16577,154928.8438
31.08.2022 00:00:00.000,1.16578,1.16933,1.15935,1.15967,171736.3125
01.09.2022 00:00:00.000,1.15967,1.16162,1.14984,1.15463,134678.6719
02.09.2022 00:00:00.000,1.15464,1.15884,1.14955,1.15005,145762.8281
03.09.2022 00:00:00.000,1.15005,1.15005,1.15005,1.15005,0
04.09.2022 00:00:00.000,1.14807,1.14950,1.14654,1.14721,9029.0098
05.09.2022 00:00:00.000,1.14721,1.15666,1.14432,1.15639,115465.1875
06.09.2022 00:00:00.000,1.15643,1.16089,1.14933,1.15103,168612.7969
07.09.2022 00:00:00.000,1.15104,1.15409,1.14047,1.15215,171835.5469
08.09.2022 00:00:00.000,1.15216,1.15605,1.14599,1.15198,234741.0156
09.09.2022 00:00:00.000,1.15198,1.16477,1.15151,1.15876,191782.5938
10.09.2022 00:00:00.000,1.15876,1.15876,1.15876,1.15876,0
11.09.2022 00:00:00.000,1.16379,1.16389,1.16018,1.16195,11971.7803
12.09.2022 00:00:00.000,1.16194,1.17102,1.16001,1.16884,168041.7031
13.09.2022 00:00:00.000,1.16886,1.17379,1.14814,1.15018,192207.3438
